state,cases,deaths,serious,critical,recovered,latitude,longitude
Alabama,524,1,,,,33.2588817,33.2588817
Alaska,59,0,,,,64.4459613,64.4459613
American Samoa,0,0,,,,-14.300630949999999,-14.300630949999999
Arizona,508,8,,,1,34.395342,34.395342
Arkansas,335,3,,,,35.2048883,35.2048883
California,3910,80,,,1,36.7014631,36.7014631
Colorado,1430,24,,,,38.7251776,38.7251776
Connecticut,1012,21,,,,41.6500201,41.6500201
Delaware,130,1,,,,38.6920451,38.6920451
Diamond Princess (repatriated),46,0,,,2,,
District of Columbia,267,3,,,49,38.893661249999994,38.893661249999994
Florida,2484,29,,,,27.7567667,27.7567667
Georgia,1643,56,,,,32.3293809,32.3293809
Grand Princess,21,0,,,,,
Guam,45,1,,,,13.450125700000001,13.450125700000001
Hawaii,106,0,,,,21.2160437,21.2160437
Idaho,189,3,,,,43.6447642,43.6447642
Illinois,2538,26,,,2,40.0796606,40.0796606
Indiana,645,17,,,,40.3270127,40.3270127
Iowa,179,1,,,,41.9216734,41.9216734
Kansas,171,3,,,,38.27312,38.27312
Kentucky,248,5,,,,37.5726028,37.5726028
Louisiana,2305,83,,,,30.8703881,30.8703881
Maine,155,0,,,16,45.709097,45.709097
Maryland,580,4,,,,39.5162234,39.5162234
Massachusetts,2417,25,,,,42.3788774,42.3788774
Michigan,2856,60,,,,43.6211955,43.6211955
Minnesota,346,2,,1,134,45.9896587,45.9896587
Mississippi,485,5,,,,32.9715645,32.9715645
Missouri,517,8,,,,38.7604815,38.7604815
Montana,90,0,,,,47.3752671,47.3752671
Nebraska,73,0,,,,41.7370229,41.7370229
Nevada,420,10,,,,39.5158825,39.5158825
New Hampshire,158,1,,,,43.4849133,43.4849133
New Jersey,6876,81,,,,40.0757384,40.0757384
New Mexico,136,1,,,,34.5708167,34.5708167
New York,38977,469,1290,,,40.7127281,40.7127281
North Carolina,728,1,,,,35.6729639,35.6729639
North Dakota,58,0,,,11,47.6201461,47.6201461
Northern Mariana Islands,0,0,,,,14.149020499999999,14.149020499999999
Ohio,867,15,91,,,40.2253569,40.2253569
Oklahoma,248,5,,,,34.9550817,34.9550817
Oregon,316,11,,,,43.9792797,43.9792797
Pennsylvania,1687,11,,1,,40.9699889,40.9699889
Puerto Rico,64,2,,,,18.2214149,18.2214149
Rhode Island,165,0,,,,41.7962409,41.7962409
South Carolina,456,9,,,,33.6874388,33.6874388
South Dakota,46,1,,,16,44.6471761,44.6471761
Tennessee,1098,3,,,,35.7730076,35.7730076
Texas,1655,23,,1,,31.8160381,31.8160381
U.S. Virgin Islands,17,0,,,,17.789187,17.789187
Utah,402,4,,,,39.4225192,39.4225192
Vermont,158,9,,,,44.5990718,44.5990718
Virginia,460,13,,,,37.1232245,37.1232245
Washington,3207,147,,,19,38.8948932,38.8948932
West Virginia,51,0,,,,38.4758406,38.4758406
Wisconsin,707,8,,,1,44.4308975,44.4308975
Wuhan (repatriated),3,0,,,,,
Wyoming,53,0,,,,43.1700264,43.1700264
